Order_ID,Payment_Date,Payment_ID,Payment_Method,Promotion_Type,Coupon_Code,Tax_Amount,Installment_Flag,Number_of_Installments,Interest_Rate_Percent,Financing_Provider,Payment_Status,Refund_Flag
ORD00000211,30-07-2022,PAY00000211,Gift Card,No Promotion,,618.5992,No,0,0,,Completed,No
ORD00000212,31-07-2022,PAY00000212,Buy Now Pay Later,No Promotion,,1861.28,Yes,12,0,Store Partner,Completed,No
ORD00000213,01-08-2022,PAY00000213,Store Financing,Seasonal Offer,SAVE10,8065.3856,Yes,12,12.5,Store Partner,Completed,No
ORD00000214,02-08-2022,PAY00000214,Store Financing,Seasonal Offer,SAVE10,3366.5656,Yes,12,12.5,Store Partner,Completed,No
ORD00000215,03-08-2022,PAY00000215,Buy Now Pay Later,No Promotion,,1899.2224,Yes,12,0,Store Partner,Completed,No
ORD00000216,04-08-2022,PAY00000216,Buy Now Pay Later,No Promotion,,2398.9136,Yes,12,0,Store Partner,Completed,No
ORD00000217,05-08-2022,PAY00000217,Digital Wallet,Seasonal Offer,SAVE10,360.2192,No,0,0,,Completed,No
ORD00000218,06-08-2022,PAY00000218,Buy Now Pay Later,No Promotion,,2170.3232,Yes,12,0,Store Partner,Completed,No
ORD00000219,07-08-2022,PAY00000219,Store Financing,Seasonal Offer,SAVE10,5183.7816,Yes,12,12.5,Store Partner,Completed,No
ORD00000220,08-08-2022,PAY00000220,Credit Card,No Promotion,,869.172,No,0,0,,Completed,No
ORD00000221,09-08-2022,PAY00000221,Store Financing,Seasonal Offer,SAVE10,2753.7584,Yes,12,12.5,Store Partner,Completed,No
ORD00000222,10-08-2022,PAY00000222,Store Financing,Seasonal Offer,SAVE10,6100.6392,Yes,12,12.5,Store Partner,Completed,No
ORD00000223,11-08-2022,PAY00000223,Buy Now Pay Later,Seasonal Offer,SAVE10,1731.3096,Yes,12,0,Store Partner,Completed,No
ORD00000224,12-08-2022,PAY00000224,Store Financing,Seasonal Offer,SAVE10,7549.9664,Yes,12,12.5,Store Partner,Completed,No
ORD00000225,13-08-2022,PAY00000225,Gift Card,Seasonal Offer,SAVE10,439.5944,No,0,0,,Completed,No
ORD00000226,14-08-2022,PAY00000226,Gift Card,Seasonal Offer,SAVE10,507.1968,No,0,0,,Completed,No
ORD00000227,15-08-2022,PAY00000227,Buy Now Pay Later,Seasonal Offer,SAVE10,2238.6032,Yes,12,0,Store Partner,Completed,No
ORD00000228,16-08-2022,PAY00000228,Digital Wallet,Seasonal Offer,SAVE10,241.8952,No,0,0,,Completed,No
ORD00000229,17-08-2022,PAY00000229,Store Financing,No Promotion,,5642.1312,Yes,12,12.5,Store Partner,Completed,No
ORD00000230,18-08-2022,PAY00000230,Store Financing,No Promotion,,4822.1408,Yes,12,12.5,Store Partner,Completed,No
ORD00000231,19-08-2022,PAY00000231,Store Financing,Seasonal Offer,SAVE10,4049.9368,Yes,12,12.5,Store Partner,Completed,No
ORD00000232,20-08-2022,PAY00000232,Store Financing,Seasonal Offer,SAVE10,6867.7888,Yes,12,12.5,Store Partner,Completed,No
ORD00000233,21-08-2022,PAY00000233,Buy Now Pay Later,Seasonal Offer,SAVE10,2134.6352,Yes,12,0,Store Partner,Completed,No
ORD00000234,22-08-2022,PAY00000234,Store Financing,Seasonal Offer,SAVE10,3148.4992,Yes,12,12.5,Store Partner,Completed,No
ORD00000235,23-08-2022,PAY00000235,Store Financing,Seasonal Offer,SAVE10,2558.1664,Yes,12,12.5,Store Partner,Completed,No
ORD00000236,24-08-2022,PAY00000236,Store Financing,Seasonal Offer,SAVE10,5288.068,Yes,12,12.5,Store Partner,Completed,No
ORD00000237,25-08-2022,PAY00000237,Buy Now Pay Later,Seasonal Offer,SAVE10,2217.168,Yes,12,0,Store Partner,Completed,No
ORD00000238,26-08-2022,PAY00000238,Buy Now Pay Later,Seasonal Offer,SAVE10,2037.4024,Yes,12,0,Store Partner,Completed,No
ORD00000239,27-08-2022,PAY00000239,Store Financing,No Promotion,,9244.1312,Yes,12,12.5,Store Partner,Completed,No
ORD00000240,28-08-2022,PAY00000240,Credit Card,No Promotion,,646.0368,No,0,0,,Completed,No
ORD00000241,29-08-2022,PAY00000241,Store Financing,Seasonal Offer,SAVE10,4322.6312,Yes,12,12.5,Store Partner,Completed,No
ORD00000242,30-08-2022,PAY00000242,Buy Now Pay Later,Seasonal Offer,SAVE10,1617.532,Yes,12,0,Store Partner,Completed,No
ORD00000243,31-08-2022,PAY00000243,Store Financing,Seasonal Offer,SAVE10,9440.3984,Yes,12,12.5,Store Partner,Completed,No
ORD00000244,01-09-2022,PAY00000244,Store Financing,No Promotion,,12534.7072,Yes,12,12.5,Store Partner,Completed,No
ORD00000245,02-09-2022,PAY00000245,Store Financing,Seasonal Offer,SAVE10,4374.1384,Yes,12,12.5,Store Partner,Completed,No
ORD00000246,03-09-2022,PAY00000246,Store Financing,No Promotion,,10523.4048,Yes,12,12.5,Store Partner,Completed,No
ORD00000247,04-09-2022,PAY00000247,Digital Wallet,Seasonal Offer,SAVE10,394.8136,No,0,0,,Completed,No
ORD00000248,05-09-2022,PAY00000248,Store Financing,Seasonal Offer,SAVE10,2758.4408,Yes,12,12.5,Store Partner,Completed,No
ORD00000249,06-09-2022,PAY00000249,Store Financing,No Promotion,,11368.5248,Yes,12,12.5,Store Partner,Completed,No
ORD00000250,07-09-2022,PAY00000250,Store Financing,Seasonal Offer,SAVE10,8066.2664,Yes,12,12.5,Store Partner,Completed,No
ORD00000251,08-09-2022,PAY00000251,Store Financing,No Promotion,,4060.3224,Yes,12,12.5,Store Partner,Completed,No
ORD00000252,09-09-2022,PAY00000252,Store Financing,No Promotion,,3751.3944,Yes,12,12.5,Store Partner,Completed,No
ORD00000253,10-09-2022,PAY00000253,Store Financing,Seasonal Offer,SAVE10,6393.0064,Yes,12,12.5,Store Partner,Completed,No
ORD00000254,11-09-2022,PAY00000254,Buy Now Pay Later,Seasonal Offer,SAVE10,1443.7176,Yes,12,0,Store Partner,Completed,No
ORD00000255,12-09-2022,PAY00000255,Store Financing,Seasonal Offer,SAVE10,4717.74,Yes,12,12.5,Store Partner,Completed,No
ORD00000256,13-09-2022,PAY00000256,Store Financing,Seasonal Offer,SAVE10,9661.0776,Yes,12,12.5,Store Partner,Completed,No
ORD00000257,14-09-2022,PAY00000257,Buy Now Pay Later,Seasonal Offer,SAVE10,1223.1288,Yes,12,0,Store Partner,Completed,No
ORD00000258,15-09-2022,PAY00000258,Store Financing,No Promotion,,10436.1744,Yes,12,12.5,Store Partner,Completed,No
ORD00000259,16-09-2022,PAY00000259,Store Financing,No Promotion,,8248.4736,Yes,12,12.5,Store Partner,Completed,No
ORD00000260,17-09-2022,PAY00000260,Buy Now Pay Later,Seasonal Offer,SAVE10,2320.648,Yes,12,0,Store Partner,Completed,No
ORD00000261,18-09-2022,PAY00000261,Store Financing,Seasonal Offer,SAVE10,5981.336,Yes,12,12.5,Store Partner,Completed,No
ORD00000262,19-09-2022,PAY00000262,Credit Card,No Promotion,,697.8984,No,0,0,,Completed,No
ORD00000263,20-09-2022,PAY00000263,Store Financing,No Promotion,,3733.0784,Yes,12,12.5,Store Partner,Completed,No
ORD00000264,21-09-2022,PAY00000264,Store Financing,Seasonal Offer,SAVE10,2495.5232,Yes,12,12.5,Store Partner,Completed,No
ORD00000265,22-09-2022,PAY00000265,Buy Now Pay Later,Seasonal Offer,SAVE10,1599.9664,Yes,12,0,Store Partner,Completed,No
ORD00000266,23-09-2022,PAY00000266,Buy Now Pay Later,Seasonal Offer,SAVE10,1759.32,Yes,12,0,Store Partner,Completed,No
ORD00000267,24-09-2022,PAY00000267,Store Financing,Seasonal Offer,SAVE10,5776.0976,Yes,12,12.5,Store Partner,Completed,No
ORD00000268,25-09-2022,PAY00000268,Buy Now Pay Later,Seasonal Offer,SAVE10,1246.1384,Yes,12,0,Store Partner,Completed,No
ORD00000269,26-09-2022,PAY00000269,Credit Card,Seasonal Offer,SAVE10,1121.3912,No,0,0,,Completed,No
ORD00000270,27-09-2022,PAY00000270,Buy Now Pay Later,Seasonal Offer,SAVE10,1350.228,Yes,12,0,Store Partner,Completed,No
ORD00000271,28-09-2022,PAY00000271,Store Financing,Seasonal Offer,SAVE10,7456.1592,Yes,12,12.5,Store Partner,Completed,No
ORD00000272,29-09-2022,PAY00000272,Store Financing,No Promotion,,4720.6512,Yes,12,12.5,Store Partner,Completed,No
ORD00000273,30-09-2022,PAY00000273,Store Financing,Seasonal Offer,SAVE10,4507.776,Yes,12,12.5,Store Partner,Completed,No
ORD00000274,01-10-2022,PAY00000274,Store Financing,Seasonal Offer,SAVE10,2977.8776,Yes,12,12.5,Store Partner,Completed,No
ORD00000275,02-10-2022,PAY00000275,Credit Card,Seasonal Offer,SAVE10,913.7192,No,0,0,,Completed,No
ORD00000276,03-10-2022,PAY00000276,Store Financing,Seasonal Offer,SAVE10,2595.4752,Yes,12,12.5,Store Partner,Completed,No
ORD00000277,04-10-2022,PAY00000277,Store Financing,Seasonal Offer,SAVE10,3910.7856,Yes,12,12.5,Store Partner,Completed,No
ORD00000278,05-10-2022,PAY00000278,Buy Now Pay Later,Seasonal Offer,SAVE10,2011.884,Yes,12,0,Store Partner,Completed,No
ORD00000279,06-10-2022,PAY00000279,Store Financing,Seasonal Offer,SAVE10,5511.8416,Yes,12,12.5,Store Partner,Completed,No
ORD00000280,07-10-2022,PAY00000280,Store Financing,No Promotion,,6282.192,Yes,12,12.5,Store Partner,Completed,No
ORD00000281,08-10-2022,PAY00000281,Digital Wallet,Seasonal Offer,SAVE10,303.0488,No,0,0,,Completed,No
ORD00000282,09-10-2022,PAY00000282,Store Financing,Seasonal Offer,SAVE10,5692.7632,Yes,12,12.5,Store Partner,Completed,No
ORD00000283,10-10-2022,PAY00000283,Digital Wallet,Seasonal Offer,SAVE10,316.3592,No,0,0,,Completed,No
ORD00000284,11-10-2022,PAY00000284,Credit Card,Seasonal Offer,SAVE10,893.6096,No,0,0,,Completed,No
ORD00000285,12-10-2022,PAY00000285,Buy Now Pay Later,Seasonal Offer,SAVE10,1675.8824,Yes,12,0,Store Partner,Completed,No
ORD00000286,13-10-2022,PAY00000286,Store Financing,Seasonal Offer,SAVE10,2549.7224,Yes,12,12.5,Store Partner,Completed,No
ORD00000287,14-10-2022,PAY00000287,Buy Now Pay Later,Seasonal Offer,SAVE10,1959.0128,Yes,12,0,Store Partner,Completed,No
ORD00000288,15-10-2022,PAY00000288,Store Financing,Seasonal Offer,SAVE10,3150.9624,Yes,12,12.5,Store Partner,Completed,No
ORD00000289,16-10-2022,PAY00000289,Store Financing,Seasonal Offer,SAVE10,7057.7544,Yes,12,12.5,Store Partner,Completed,No
ORD00000290,17-10-2022,PAY00000290,Store Financing,No Promotion,,11800.96,Yes,12,12.5,Store Partner,Completed,No
ORD00000291,18-10-2022,PAY00000291,Store Financing,Seasonal Offer,SAVE10,6327.1032,Yes,12,12.5,Store Partner,Completed,No
ORD00000292,19-10-2022,PAY00000292,Store Financing,Seasonal Offer,SAVE10,6450.3752,Yes,12,12.5,Store Partner,Completed,No
ORD00000293,20-10-2022,PAY00000293,Buy Now Pay Later,Seasonal Offer,SAVE10,2041.5528,Yes,12,0,Store Partner,Completed,No
ORD00000294,21-10-2022,PAY00000294,Store Financing,Seasonal Offer,SAVE10,3180.852,Yes,12,12.5,Store Partner,Completed,No
ORD00000295,22-10-2022,PAY00000295,Buy Now Pay Later,No Promotion,,2064.7368,Yes,12,0,Store Partner,Completed,No
ORD00000296,23-10-2022,PAY00000296,Store Financing,No Promotion,,3027.484,Yes,12,12.5,Store Partner,Completed,No
ORD00000297,24-10-2022,PAY00000297,Store Financing,Seasonal Offer,SAVE10,4183.808,Yes,12,12.5,Store Partner,Completed,No
ORD00000298,25-10-2022,PAY00000298,Store Financing,Seasonal Offer,SAVE10,5640.512,Yes,12,12.5,Store Partner,Completed,No
ORD00000299,26-10-2022,PAY00000299,Credit Card,Seasonal Offer,SAVE10,1112.2504,No,0,0,,Completed,No
ORD00000300,27-10-2022,PAY00000300,Store Financing,No Promotion,,4084.4952,Yes,12,12.5,Store Partner,Completed,No
ORD00000301,28-10-2022,PAY00000301,Store Financing,Seasonal Offer,SAVE10,4566.6832,Yes,12,12.5,Store Partner,Completed,No
ORD00000302,29-10-2022,PAY00000302,Store Financing,Seasonal Offer,SAVE10,6240.3032,Yes,12,12.5,Store Partner,Completed,No
ORD00000303,30-10-2022,PAY00000303,Buy Now Pay Later,Seasonal Offer,SAVE10,1489.0984,Yes,12,0,Store Partner,Completed,No
ORD00000304,31-10-2022,PAY00000304,Store Financing,Seasonal Offer,SAVE10,4341.2,Yes,12,12.5,Store Partner,Completed,No
ORD00000305,01-11-2022,PAY00000305,Debit Card,Seasonal Offer,SAVE10,83.5376,No,0,0,,Completed,No
ORD00000306,02-11-2022,PAY00000306,Store Financing,Seasonal Offer,SAVE10,5404.1256,Yes,12,12.5,Store Partner,Completed,No
ORD00000307,03-11-2022,PAY00000307,Store Financing,No Promotion,,2998.6608,Yes,12,12.5,Store Partner,Completed,No
ORD00000308,04-11-2022,PAY00000308,Digital Wallet,No Promotion,,249.0088,No,0,0,,Completed,No
ORD00000309,05-11-2022,PAY00000309,Credit Card,Seasonal Offer,SAVE10,928.0464,No,0,0,,Completed,No
ORD00000310,06-11-2022,PAY00000310,Store Financing,Seasonal Offer,SAVE10,5371.6864,Yes,12,12.5,Store Partner,Completed,No
ORD00000311,07-11-2022,PAY00000311,Store Financing,No Promotion,,6230.0736,Yes,12,12.5,Store Partner,Completed,No
ORD00000312,08-11-2022,PAY00000312,Buy Now Pay Later,Seasonal Offer,SAVE10,2134.5,Yes,12,0,Store Partner,Completed,No
ORD00000313,09-11-2022,PAY00000313,Buy Now Pay Later,Seasonal Offer,SAVE10,1709.252,Yes,12,0,Store Partner,Completed,No
ORD00000314,10-11-2022,PAY00000314,Credit Card,No Promotion,,655.5744,No,0,0,,Completed,No
ORD00000315,11-11-2022,PAY00000315,Digital Wallet,Seasonal Offer,SAVE10,387.7536,No,0,0,,Completed,No
ORD00000316,12-11-2022,PAY00000316,Store Financing,Seasonal Offer,SAVE10,8022.96,Yes,12,12.5,Store Partner,Completed,No
ORD00000317,13-11-2022,PAY00000317,Digital Wallet,Seasonal Offer,SAVE10,388.1432,No,0,0,,Completed,No
ORD00000318,14-11-2022,PAY00000318,Store Financing,Seasonal Offer,SAVE10,2823.4832,Yes,12,12.5,Store Partner,Completed,No
ORD00000319,15-11-2022,PAY00000319,Store Financing,No Promotion,,6025.3216,Yes,12,12.5,Store Partner,Completed,No
ORD00000320,16-11-2022,PAY00000320,Store Financing,Seasonal Offer,SAVE10,4013.1648,Yes,12,12.5,Store Partner,Completed,No
ORD00000321,17-11-2022,PAY00000321,Gift Card,Seasonal Offer,SAVE10,578.4392,No,0,0,,Completed,No
ORD00000322,18-11-2022,PAY00000322,Store Financing,Seasonal Offer,SAVE10,6775.92,Yes,12,12.5,Store Partner,Completed,No
ORD00000323,19-11-2022,PAY00000323,Store Financing,Seasonal Offer,SAVE10,4824.8128,Yes,12,12.5,Store Partner,Completed,No
ORD00000324,20-11-2022,PAY00000324,Buy Now Pay Later,Seasonal Offer,SAVE10,1912.5472,Yes,12,0,Store Partner,Completed,No
ORD00000325,21-11-2022,PAY00000325,Store Financing,Seasonal Offer,SAVE10,8657.812,Yes,12,12.5,Store Partner,Completed,No
ORD00000326,22-11-2022,PAY00000326,Buy Now Pay Later,No Promotion,,1244.748,Yes,12,0,Store Partner,Completed,No
ORD00000327,23-11-2022,PAY00000327,Store Financing,Seasonal Offer,SAVE10,4350.2744,Yes,12,12.5,Store Partner,Completed,No
ORD00000328,24-11-2022,PAY00000328,Credit Card,Seasonal Offer,SAVE10,843.6992,No,0,0,,Completed,No
ORD00000329,25-11-2022,PAY00000329,Buy Now Pay Later,Seasonal Offer,SAVE10,1336.0272,Yes,12,0,Store Partner,Completed,No
ORD00000330,26-11-2022,PAY00000330,Buy Now Pay Later,Seasonal Offer,SAVE10,1908.2744,Yes,12,0,Store Partner,Completed,No
ORD00000331,27-11-2022,PAY00000331,Credit Card,No Promotion,,1090.5032,No,0,0,,Completed,No
ORD00000332,28-11-2022,PAY00000332,Buy Now Pay Later,Seasonal Offer,SAVE10,2266.8,Yes,12,0,Store Partner,Completed,No
ORD00000333,29-11-2022,PAY00000333,Credit Card,Seasonal Offer,SAVE10,1169.8992,No,0,0,,Completed,No
ORD00000334,30-11-2022,PAY00000334,Store Financing,Seasonal Offer,SAVE10,8092.5552,Yes,12,12.5,Store Partner,Completed,No
ORD00000335,01-12-2022,PAY00000335,Buy Now Pay Later,No Promotion,,1655.736,Yes,12,0,Store Partner,Completed,No
ORD00000336,02-12-2022,PAY00000336,Gift Card,Seasonal Offer,SAVE10,437.1408,No,0,0,,Completed,No
ORD00000337,03-12-2022,PAY00000337,Store Financing,No Promotion,,6124.2688,Yes,12,12.5,Store Partner,Completed,No
ORD00000338,04-12-2022,PAY00000338,Buy Now Pay Later,Seasonal Offer,SAVE10,2239.2304,Yes,12,0,Store Partner,Completed,No
ORD00000339,05-12-2022,PAY00000339,Store Financing,No Promotion,,5659.92,Yes,12,12.5,Store Partner,Completed,No
ORD00000340,06-12-2022,PAY00000340,Store Financing,No Promotion,,3655.6464,Yes,12,12.5,Store Partner,Completed,No
ORD00000341,07-12-2022,PAY00000341,Credit Card,No Promotion,,1132.5168,No,0,0,,Completed,No
ORD00000342,08-12-2022,PAY00000342,Gift Card,Seasonal Offer,SAVE10,549.996,No,0,0,,Completed,No
ORD00000343,09-12-2022,PAY00000343,Store Financing,Seasonal Offer,SAVE10,2525.2608,Yes,12,12.5,Store Partner,Completed,No
ORD00000344,10-12-2022,PAY00000344,Store Financing,Seasonal Offer,SAVE10,5347.8144,Yes,12,12.5,Store Partner,Completed,No
ORD00000345,11-12-2022,PAY00000345,Store Financing,Seasonal Offer,SAVE10,3864.2688,Yes,12,12.5,Store Partner,Completed,No
ORD00000346,12-12-2022,PAY00000346,Buy Now Pay Later,No Promotion,,1350.2736,Yes,12,0,Store Partner,Completed,No
ORD00000347,13-12-2022,PAY00000347,Credit Card,Seasonal Offer,SAVE10,937.5752,No,0,0,,Completed,No
ORD00000348,14-12-2022,PAY00000348,Store Financing,Seasonal Offer,SAVE10,8265.3696,Yes,12,12.5,Store Partner,Completed,No
ORD00000349,15-12-2022,PAY00000349,Buy Now Pay Later,Seasonal Offer,SAVE10,2288.1104,Yes,12,0,Store Partner,Completed,No
ORD00000350,16-12-2022,PAY00000350,Buy Now Pay Later,Seasonal Offer,SAVE10,1435.4568,Yes,12,0,Store Partner,Completed,No
ORD00000351,17-12-2022,PAY00000351,Store Financing,Seasonal Offer,SAVE10,4652.0696,Yes,12,12.5,Store Partner,Completed,No
ORD00000352,18-12-2022,PAY00000352,Store Financing,No Promotion,,5795.2704,Yes,12,12.5,Store Partner,Completed,No
ORD00000353,19-12-2022,PAY00000353,Credit Card,No Promotion,,1106.6064,No,0,0,,Completed,No
ORD00000354,20-12-2022,PAY00000354,Gift Card,No Promotion,,573.3472,No,0,0,,Completed,No
ORD00000355,21-12-2022,PAY00000355,Buy Now Pay Later,No Promotion,,2203.6592,Yes,12,0,Store Partner,Completed,No
ORD00000356,22-12-2022,PAY00000356,Store Financing,No Promotion,,5749.7664,Yes,12,12.5,Store Partner,Completed,No
ORD00000357,23-12-2022,PAY00000357,Store Financing,No Promotion,,3781.0224,Yes,12,12.5,Store Partner,Completed,No
ORD00000358,24-12-2022,PAY00000358,Store Financing,Seasonal Offer,SAVE10,9953.1528,Yes,12,12.5,Store Partner,Completed,No
ORD00000359,25-12-2022,PAY00000359,Gift Card,No Promotion,,565.4432,No,0,0,,Completed,No
ORD00000360,26-12-2022,PAY00000360,Credit Card,No Promotion,,736.7392,No,0,0,,Completed,No
ORD00000361,27-12-2022,PAY00000361,Buy Now Pay Later,Seasonal Offer,SAVE10,2386.0464,Yes,12,0,Store Partner,Completed,No
ORD00000362,28-12-2022,PAY00000362,Buy Now Pay Later,Seasonal Offer,SAVE10,1295.464,Yes,12,0,Store Partner,Completed,No
ORD00000363,29-12-2022,PAY00000363,Buy Now Pay Later,No Promotion,,1610.8096,Yes,12,0,Store Partner,Completed,No
ORD00000364,30-12-2022,PAY00000364,Buy Now Pay Later,Seasonal Offer,SAVE10,1328.1264,Yes,12,0,Store Partner,Completed,No
ORD00000365,31-12-2022,PAY00000365,Store Financing,No Promotion,,4138.5616,Yes,12,12.5,Store Partner,Completed,No
ORD00000366,01-01-2023,PAY00000366,Store Financing,Seasonal Offer,SAVE10,9410.3392,Yes,12,12.5,Store Partner,Completed,No
ORD00000367,02-01-2023,PAY00000367,Store Financing,Seasonal Offer,SAVE10,3142.0368,Yes,12,12.5,Store Partner,Completed,No
ORD00000368,03-01-2023,PAY00000368,Buy Now Pay Later,No Promotion,,2372.8144,Yes,12,0,Store Partner,Completed,No
ORD00000369,04-01-2023,PAY00000369,Store Financing,Seasonal Offer,SAVE10,3919.5056,Yes,12,12.5,Store Partner,Completed,No
ORD00000370,05-01-2023,PAY00000370,Store Financing,Seasonal Offer,SAVE10,6237.2864,Yes,12,12.5,Store Partner,Completed,No
ORD00000371,06-01-2023,PAY00000371,Buy Now Pay Later,No Promotion,,1534.68,Yes,12,0,Store Partner,Completed,No
ORD00000372,07-01-2023,PAY00000372,Credit Card,No Promotion,,1028.5096,No,0,0,,Completed,No
ORD00000373,08-01-2023,PAY00000373,Credit Card,No Promotion,,966.2448,No,0,0,,Completed,No
ORD00000374,09-01-2023,PAY00000374,Store Financing,Seasonal Offer,SAVE10,5356.9272,Yes,12,12.5,Store Partner,Completed,No
ORD00000375,10-01-2023,PAY00000375,Store Financing,Seasonal Offer,SAVE10,3140.5072,Yes,12,12.5,Store Partner,Completed,No
ORD00000376,11-01-2023,PAY00000376,Buy Now Pay Later,Seasonal Offer,SAVE10,1656.28,Yes,12,0,Store Partner,Completed,No
ORD00000377,12-01-2023,PAY00000377,Digital Wallet,No Promotion,,380.1312,No,0,0,,Completed,No
ORD00000378,13-01-2023,PAY00000378,Store Financing,Seasonal Offer,SAVE10,6028.1192,Yes,12,12.5,Store Partner,Completed,No
ORD00000379,14-01-2023,PAY00000379,Buy Now Pay Later,Seasonal Offer,SAVE10,1821.4144,Yes,12,0,Store Partner,Completed,No
ORD00000380,15-01-2023,PAY00000380,Store Financing,No Promotion,,7403.9808,Yes,12,12.5,Store Partner,Completed,No
ORD00000381,16-01-2023,PAY00000381,Credit Card,Seasonal Offer,SAVE10,800.0336,No,0,0,,Completed,No
ORD00000382,17-01-2023,PAY00000382,Buy Now Pay Later,Seasonal Offer,SAVE10,1521.8232,Yes,12,0,Store Partner,Completed,No
ORD00000383,18-01-2023,PAY00000383,Buy Now Pay Later,Seasonal Offer,SAVE10,1347.7616,Yes,12,0,Store Partner,Completed,No
ORD00000384,19-01-2023,PAY00000384,Store Financing,No Promotion,,6448.4096,Yes,12,12.5,Store Partner,Completed,No
ORD00000385,20-01-2023,PAY00000385,Credit Card,Seasonal Offer,SAVE10,976.4408,No,0,0,,Completed,No
ORD00000386,21-01-2023,PAY00000386,Store Financing,Seasonal Offer,SAVE10,3108.9536,Yes,12,12.5,Store Partner,Completed,No
ORD00000387,22-01-2023,PAY00000387,Buy Now Pay Later,Seasonal Offer,SAVE10,1928.4712,Yes,12,0,Store Partner,Completed,No
ORD00000388,23-01-2023,PAY00000388,Store Financing,No Promotion,,4480.4576,Yes,12,12.5,Store Partner,Completed,No
ORD00000389,24-01-2023,PAY00000389,Buy Now Pay Later,Seasonal Offer,SAVE10,1921.1608,Yes,12,0,Store Partner,Completed,No
ORD00000390,25-01-2023,PAY00000390,Digital Wallet,No Promotion,,292.4544,No,0,0,,Completed,No
ORD00000391,26-01-2023,PAY00000391,Store Financing,No Promotion,,3309.8384,Yes,12,12.5,Store Partner,Completed,No
ORD00000392,27-01-2023,PAY00000392,Store Financing,No Promotion,,11953.3856,Yes,12,12.5,Store Partner,Completed,No
ORD00000393,28-01-2023,PAY00000393,Credit Card,Seasonal Offer,SAVE10,831.7504,No,0,0,,Completed,No
ORD00000394,29-01-2023,PAY00000394,Buy Now Pay Later,No Promotion,,1989.664,Yes,12,0,Store Partner,Completed,No
ORD00000395,30-01-2023,PAY00000395,Buy Now Pay Later,Seasonal Offer,SAVE10,1607.052,Yes,12,0,Store Partner,Completed,No
ORD00000396,31-01-2023,PAY00000396,Credit Card,No Promotion,,1182.1168,No,0,0,,Completed,No
ORD00000397,01-02-2023,PAY00000397,Credit Card,No Promotion,,753.128,No,0,0,,Completed,No
ORD00000398,02-02-2023,PAY00000398,Store Financing,Seasonal Offer,SAVE10,6075.864,Yes,12,12.5,Store Partner,Completed,No
ORD00000399,03-02-2023,PAY00000399,Store Financing,No Promotion,,4491.2,Yes,12,12.5,Store Partner,Completed,No
ORD00000400,04-02-2023,PAY00000400,Store Financing,Seasonal Offer,SAVE10,2657.5968,Yes,12,12.5,Store Partner,Completed,No
ORD00000401,05-02-2023,PAY00000401,Digital Wallet,No Promotion,,238.8776,No,0,0,,Completed,No
ORD00000402,06-02-2023,PAY00000402,Store Financing,No Promotion,,2464.2384,Yes,12,12.5,Store Partner,Completed,No
ORD00000403,07-02-2023,PAY00000403,Store Financing,Seasonal Offer,SAVE10,9992.62,Yes,12,12.5,Store Partner,Completed,No
ORD00000404,08-02-2023,PAY00000404,Buy Now Pay Later,Seasonal Offer,SAVE10,2033.7008,Yes,12,0,Store Partner,Completed,No
ORD00000405,09-02-2023,PAY00000405,Credit Card,Seasonal Offer,SAVE10,789.6128,No,0,0,,Completed,No
ORD00000406,10-02-2023,PAY00000406,Credit Card,Seasonal Offer,SAVE10,1042.0976,No,0,0,,Completed,No
ORD00000407,11-02-2023,PAY00000407,Gift Card,Seasonal Offer,SAVE10,610.1712,No,0,0,,Completed,No
ORD00000408,12-02-2023,PAY00000408,Buy Now Pay Later,Seasonal Offer,SAVE10,1210.1176,Yes,12,0,Store Partner,Completed,No
ORD00000409,13-02-2023,PAY00000409,Store Financing,Seasonal Offer,SAVE10,3524.5472,Yes,12,12.5,Store Partner,Completed,No
ORD00000410,14-02-2023,PAY00000410,Store Financing,No Promotion,,3471.1144,Yes,12,12.5,Store Partner,Completed,No
ORD00000411,15-02-2023,PAY00000411,Buy Now Pay Later,Seasonal Offer,SAVE10,1340.3208,Yes,12,0,Store Partner,Completed,No
ORD00000412,16-02-2023,PAY00000412,Buy Now Pay Later,Seasonal Offer,SAVE10,2097.9352,Yes,12,0,Store Partner,Completed,No
ORD00000413,17-02-2023,PAY00000413,Store Financing,Seasonal Offer,SAVE10,9079.9688,Yes,12,12.5,Store Partner,Completed,No
ORD00000414,18-02-2023,PAY00000414,Buy Now Pay Later,No Promotion,,1347.9432,Yes,12,0,Store Partner,Completed,No
ORD00000415,19-02-2023,PAY00000415,Store Financing,No Promotion,,6705.0208,Yes,12,12.5,Store Partner,Completed,No
ORD00000416,20-02-2023,PAY00000416,Digital Wallet,Seasonal Offer,SAVE10,313.908,No,0,0,,Completed,No
ORD00000417,21-02-2023,PAY00000417,Gift Card,No Promotion,,523.0736,No,0,0,,Completed,No
ORD00000418,22-02-2023,PAY00000418,Buy Now Pay Later,Seasonal Offer,SAVE10,1961.8264,Yes,12,0,Store Partner,Completed,No
ORD00000419,23-02-2023,PAY00000419,Store Financing,Seasonal Offer,SAVE10,4490.9552,Yes,12,12.5,Store Partner,Completed,No
ORD00000420,24-02-2023,PAY00000420,Store Financing,Seasonal Offer,SAVE10,3337.9536,Yes,12,12.5,Store Partner,Completed,No
ORD00000421,25-02-2023,PAY00000421,Gift Card,Seasonal Offer,SAVE10,474.1808,No,0,0,,Completed,No
